title,release_date,budget,revenue,vote_average,genres_cleaned
Catch and Release,2006-10-20,25000000.0,16158487.0,5.8,"Comedy, Drama, Romance"
Flushed Away,2006-10-22,149000000.0,64459316.0,6.0,"Adventure, Animation, Comedy, Family"
Saw III,2006-10-27,10000000.0,163876815.0,6.1,"Horror, Thriller, Crime"
Running with Scissors,2006-10-27,12000000.0,6754898.0,5.8,"Drama, Comedy"
Death of a President,2006-10-27,2000000.0,167000.0,5.7,"Documentary, Drama, Science Fiction"
The Santa Clause 3: The Escape Clause,2006-11-01,12000000.0,84500122.0,5.0,"Comedy, Family, Adventure"
Borat: Cultural Learnings of America for Make Benefit Glorious Nation of Kazakhstan,2006-11-01,18000000.0,261572744.0,6.5,Comedy
Goya's Ghosts,2006-11-08,50000000.0,9448082.0,6.6,Drama
The Return,2006-11-10,15000000.0,11992014.0,5.1,"Drama, Horror, Thriller"
Casino Royale,2006-11-14,150000000.0,599045960.0,7.3,"Adventure, Action, Thriller"
Infamous,2006-11-16,13000000.0,1151330.0,6.4,Drama
Happy Feet,2006-11-16,100000000.0,384335608.0,5.9,"Animation, Comedy"
Let's Go to Prison,2006-11-17,4000000.0,4630045.0,5.5,"Comedy, Crime"
The Work and the Glory III: A House Divided,2006-11-22,6500000.0,1325092.0,7.5,Drama
Déjà Vu,2006-11-22,75000000.0,180557550.0,6.6,"Action, Thriller, Science Fiction"
For Your Consideration,2006-11-22,12000000.0,5542025.0,5.9,"Comedy, Drama"
Tenacious D in The Pick of Destiny,2006-11-22,22000000.0,13405595.0,6.5,"Comedy, Music"
Dhoom 2,2006-11-24,11000000.0,46396427.0,5.9,"Drama, Action, Thriller, Crime"
Miss Potter,2006-12-03,30000000.0,35078241.0,6.3,"Drama, Family, Romance"
Blood Diamond,2006-12-07,100000000.0,170877916.0,7.4,"Drama, Thriller, Action"
Apocalypto,2006-12-07,40000000.0,120175290.0,7.3,"Action, Adventure, Drama, Thriller"
The Good German,2006-12-08,32000000.0,5914908.0,5.9,"War, Crime, Drama, Mystery, Romance, Thriller"
The Holiday,2006-12-08,85000000.0,194168700.0,6.7,"Comedy, Romance"
Black Snake Moan,2006-12-08,15000000.0,10903846.0,6.6,Drama
Smokin' Aces,2006-12-09,17000000.0,57103895.0,6.4,"Action, Comedy, Crime, Thriller"
300,2006-12-09,65000000.0,422610419.0,7.0,"Action, Adventure, War"
The Good Shepherd,2006-12-11,85000000.0,59908565.0,6.3,"Drama, Thriller, History"
We Are Marshall,2006-12-12,65000000.0,43545364.0,6.7,Drama
Arthur and the Invisibles,2006-12-13,86000000.0,107944236.0,6.0,"Adventure, Fantasy, Animation, Family"
Happy Family,2006-12-14,800000.0,966214.0,6.0,"Comedy, Romance"
Eragon,2006-12-14,100000000.0,249288105.0,4.9,"Fantasy, Action, Adventure, Family"
The Pursuit of Happyness,2006-12-14,55000000.0,307077295.0,7.7,Drama
Charlotte's Web,2006-12-15,85000000.0,144000000.0,5.8,"Comedy, Family, Fantasy"
Letters from Iwo Jima,2006-12-19,19000000.0,68673228.0,7.2,"Action, Adventure, Drama, War"
Rocky Balboa,2006-12-20,24000000.0,155721132.0,6.5,Drama
Notes on a Scandal,2006-12-25,15000000.0,49469904.0,6.9,"Drama, Romance"
Dreamgirls,2006-12-25,70000000.0,154937680.0,6.6,Drama
Black Christmas,2006-12-25,9000000.0,21510851.0,4.8,"Horror, Thriller"
It's a Boy Girl Thing,2006-12-26,15500000.0,7385434.0,6.3,"Comedy, Fantasy, Romance"
Redacted,2007-01-01,5000000.0,782102.0,6.2,"Drama, War"
A Mighty Heart,2007-01-01,16000000.0,18928871.0,6.7,"Drama, Thriller"
Freedom Writers,2007-01-05,21000000.0,41170784.0,7.6,"Crime, Drama"
Code Name: The Cleaner,2007-01-05,20000000.0,10337477.0,4.7,"Action, Comedy, Crime"
Pathfinder,2007-01-11,45000000.0,30822861.0,5.4,Adventure
Guru,2007-01-12,4700000.0,31000000.0,6.7,Drama
The Hitcher,2007-01-19,10000000.0,25399945.0,5.6,"Action, Horror, Crime"
Son of Rambow,2007-01-22,4000000.0,6870249.0,6.7,Comedy
Epic Movie,2007-01-25,20000000.0,86865564.0,3.2,"Action, Adventure, Comedy"
The Good Night,2007-01-25,15000000.0,20380.0,5.7,"Comedy, Drama, Romance, Fantasy, Music"
Boy Culture,2007-01-31,500000.0,220151.0,6.0,"Drama, Romance"
The Messengers,2007-02-02,16000000.0,1109660.0,5.6,"Mystery, Thriller, Horror"
Hannibal Rising,2007-02-06,50000000.0,82169884.0,6.0,"Crime, Drama, Thriller"
The Tracey Fragments,2007-02-08,700000.0,31576.0,5.9,Drama
Premonition,2007-02-08,20000000.0,84146832.0,5.8,"Thriller, Drama, Mystery"
Norbit,2007-02-08,60000000.0,95673607.0,5.0,Comedy
Dragon Wars: D-War,2007-02-08,70000000.0,53587404.0,4.0,"Fantasy, Drama, Horror, Action, Thriller, Science Fiction"
Music and Lyrics,2007-02-09,40000000.0,145896422.0,6.2,"Comedy, Music, Romance"
Itty Bitty Titty Committee,2007-02-09,1000000.0,18479.0,6.0,Comedy
You Kill Me,2007-02-09,4000000.0,2426851.0,6.2,"Comedy, Crime, Thriller, Romance"
88 Minutes,2007-02-14,30000000.0,16930884.0,5.7,"Crime, Mystery, Thriller"
Daddy's Little Girls,2007-02-14,10000000.0,31609243.0,6.6,"Comedy, Drama, Romance"
Hot Fuzz,2007-02-14,12000000.0,80573774.0,7.4,"Crime, Action, Comedy"
Hallam Foe,2007-02-16,8000000.0,60641.0,6.8,"Drama, Comedy, Thriller"
Ghost Rider,2007-02-16,110000000.0,228738393.0,5.2,"Thriller, Action, Fantasy, Horror"
Bridge to Terabithia,2007-02-16,60000000.0,137587063.0,7.0,"Adventure, Drama, Family"
Reno 911!: Miami,2007-02-23,10000000.0,20342161.0,5.6,"Action, Adventure, Comedy, Crime"
The Number 23,2007-02-23,30000000.0,77566815.0,6.3,"Thriller, Drama, Mystery"
Becoming Jane,2007-03-02,16500000.0,37311672.0,6.9,"Drama, Romance"
Zodiac,2007-03-02,65000000.0,84785914.0,7.3,"Crime, Drama, Mystery, Thriller"
Captivity,2007-03-09,17000000.0,2626800.0,4.4,"Crime, Horror, Thriller"
The Lookout,2007-03-09,16000000.0,5367030.0,6.6,"Crime, Drama, Thriller"
Quiet City,2007-03-12,2500.0,15425.0,6.6,"Drama, Romance"
